stationName,stationLngGcj02,stationLatGcj02,fastCnt,slowCnt,freeCnt,fastFreeCnt,electricityFeeBigDecimal
星星充电-大兴-联东U谷长子营科技园充电站,116.588808,39.698712,4,3,7,4,1.55
育新花园北里北车库,116.635764,39.663411,0,12,10,0,1.67
北京市通州区于家务中学公共充电站,116.700994,39.723835,12,0,8,8,1.45
智汇充（北京）房山区北大寺街充电站,115.985891,39.704803,8,4,12,8,1.69
中冶蓝城,116.011385,39.707126,0,6,4,0,1.96
北京市房山区良乡保良汽修厂公共充电站,116.032846,39.708596,4,0,3,3,1.45
北京市房山区燕山开关厂公共充电站,116.021535,39.709647,5,0,5,5,1.45
肖庄福源宾馆,116.127651,39.70981,0,4,4,0,1.76
北京阜盛液冷超充站,116.195039,39.711937,24,0,12,12,0.87
恒大滨河左岸北区,116.153097,39.717709,0,10,9,0,1.76
特来电北京时代广场充电站,116.173086,39.724126,4,0,3,3,1.14
星星充电-北京时代广场地下快充站,116.173893,39.724522,4,0,1,1,1.19
长阳熙悦天街南侧公共停车场超级充电站,116.184413,39.729068,22,0,10,10,0.96
北京市大兴区太阳大地充电站,116.305825,39.685137,28,0,4,4,0.98
大兴绿地启航国际,116.313016,39.691104,0,14,9,0,1.96
特来电北京龙湖时代天街充电站,116.319998,39.685909,16,18,26,10,1.90
北京大兴金科充电站,116.323715,39.684257,14,0,9,9,1.03
中铁吉盛物流园充电站,116.339686,39.692259,14,0,14,14,1.40
天河北路5号充电站二期,116.33941,39.693099,36,0,26,26,1.28
北京联东U谷大兴高端智造产业园充电站,116.417562,39.714554,4,14,17,3,1.44
北京市大兴区绿得金生态园公共充电站,116.480336,39.731313,0,5,5,0,1.45
【不对外开放】极狐-海纳川亦庄园区充电站,116.520226,39.727222,2,4,1,0,1.27
北京市亦庄开发区融兴北三街充电站,116.503097,39.733188,2,0,1,1,1.45
北京市大兴区红金龙国际企业港有序公共充电站,116.583123,39.706812,2,10,0,0,1.49
北京市房山区车厂村充电站,115.916249,39.73664,4,0,4,4,1.45
北京房山区幸福新村充电站,115.95186,39.7258,1,8,6,0,1.36
京西速电·原香嘉苑（统建统服）  ,115.972351,39.713901,14,0,10,10,1.12
北京房山区宏塔社区充电站,115.97697,39.715183,1,9,9,1,1.36
朱各庄安置房16号楼,116.010237,39.709708,0,12,10,0,1.76
朱各庄安置房15号楼,116.012198,39.708762,0,6,5,0,1.76
朱各庄安置房11号楼,116.01199,39.710359,0,10,9,0,1.76
北京市大石河充电站,116.030785,39.710621,17,0,14,14,1.05
朱各庄安置房8号楼,116.012963,39.710388,0,8,7,0,1.60
北京房山星城三里充电站,116.059752,39.709638,1,6,5,0,1.36
北京房山星城四里2号充电站,116.057683,39.711046,1,9,6,1,1.36
北京房山星城四里1号充电站,116.061019,39.710719,1,9,7,1,1.36
特来电北京燕化医院星城分院,116.067872,39.709083,4,3,5,3,1.64
北京房山星城二里充电站,116.067363,39.710048,1,9,6,0,1.36
北京房山星城一里充电站,116.067645,39.712705,1,9,10,1,1.36
北京市房山区阎村镇南梨园村充电站,116.079215,39.709081,4,0,3,3,1.45
北京房山凯旋大街充电站,116.133062,39.7137,24,0,17,17,0.94
特来电北京鸿顺园小区充电站,116.153771,39.72153,3,25,27,3,1.87
星星充电-房山-金地朗悦60号院充电站,116.190828,39.733632,2,13,12,1,1.81
星星充电-房山-金地朗悦58号院充电站,116.19075,39.734438,6,24,20,6,1.81
北京新里程家园59号院,116.188253,39.734444,0,9,9,0,1.27
北京大兴永大路1号院（龙湖天街北）充电站,116.318083,39.688968,24,0,4,4,0.99
龙湖时代天街东区,116.323743,39.686384,0,9,9,0,2.26
北京市大兴区念坛公园南门公共充电站（SDK）,116.320605,39.701267,0,10,9,0,1.45
鑫苑鑫都汇充电站-慢,116.328241,39.694221,4,0,4,4,1.20
北京大兴融汇充电站,116.322863,39.678381,4,0,2,2,1.14
天河北路5号充电站二期,116.33941,39.693099,36,0,25,25,1.28
林海园,116.346803,39.710732,0,12,7,0,1.63
北京大兴首创悦都汇充电站,116.404537,39.702482,17,0,5,5,1.09
北京市大兴区黄村镇三间房村公共充电站,116.422967,39.719965,16,0,7,7,1.45
北京市亦庄开发区融兴北二街充电站,116.52158,39.733229,3,0,2,2,1.45
北京市通州区蓝呗呗生态园充电站,116.579274,39.715186,8,0,8,8,1.45
北京市通州区杨秀店村充电站,116.572987,39.72254,8,0,5,5,1.45
北京市大兴区长子营湿地公园充电站,116.622767,39.722362,8,0,6,6,1.45
特来电北京市通州区漷县公共充电站,116.777908,39.761602,4,0,2,2,1.45
北京市平谷区北京渔阳国际滑雪场充电站,117.146649,40.080987,18,0,11,11,1.45
北京市房山区史家营乡百花山景区充电站,115.641167,39.842643,2,0,2,2,1.50
北京市房山区蒲洼花台公共充电站,115.531617,39.782036,4,0,3,3,1.45
北京房山区迎风六里充电站,115.967136,39.724092,2,8,7,0,1.36
北京市房山区燕山轻轨站停车场公共充电站,115.969616,39.72202,8,0,8,8,1.45
云和桥燕山轻轨站停车场充电站,115.969889,39.721872,12,0,7,7,1.15
房山区燕房路-鲸悦能源充电站,115.974132,39.717974,2,0,2,2,1.15
北京房山富燕新村四区充电站,115.979986,39.718088,1,9,5,1,1.36
北京房山富燕新村一区2号变电室充电站,115.986916,39.71767,1,9,9,1,1.36
朱各庄安置房1号楼,116.012322,39.714125,0,4,4,0,1.60
星星充电-房山-希尔顿欢朋酒店地下桩群充电站,116.044773,39.720758,4,6,4,4,1.44
星星充电-房山区-信息大学充电站,116.066034,39.69063,26,0,21,21,1.30
房山大董村-鲸悦能源充电站,116.063027,39.714915,12,0,6,6,1.04
星城北里西区,116.062126,39.715574,0,6,6,0,2.26
北京市房山区珍华金属结构厂公共充电站,116.090952,39.720477,8,0,4,4,1.45
北京市房山区澎湃汽车城公共充电站,116.10118,39.722565,8,0,7,7,1.45
北京四季信通,116.105168,39.721967,2,3,1,0,1.50
北京市房山区良乡超充站,116.119856,39.720789,8,0,7,7,1.05
北京市房山区建鑫园公共充电站,116.117257,39.723208,0,9,9,0,1.05
北京市房山区共创大厦公共充电站,116.123221,39.723821,0,15,13,0,1.05
北京市房山区良乡大学城西地铁站停车场充电站,116.157144,39.723885,5,0,5,5,1.45
极狐-龙湖熙悦天街超充站,116.186165,39.734467,4,0,3,3,1.31
北京新里程家园55号院,116.188231,39.73514,0,2,2,0,1.27
北京新里程家园57号院,116.188245,39.735151,0,16,10,0,1.27
辛店小区,116.349155,39.715815,0,6,6,0,2.01
北京市大兴区广厦家园公共充电站,116.349791,39.723134,2,6,7,1,1.45
星星充电-大兴-海兰丝充电站,116.427237,39.73162,4,18,9,0,1.70
特来电北京西红门鸿坤智谷充电站,116.43074,39.736951,5,21,24,5,1.58
北京亦庄亦城亦禧充电站,116.493885,39.752199,8,0,6,6,1.22
极狐-亦庄龙湖天街超充站,116.490997,39.752941,4,0,2,2,1.10
融科香雪兰溪,116.534768,39.742542,0,5,5,0,1.86
特来电北京联东U谷中区充电站,116.562711,39.731654,4,6,7,3,2.04
北京市通州区马驹桥镇柴务超充站,116.573218,39.725027,16,0,10,10,0.95
北京市通州区黎明家具总部基地充电站,116.570066,39.729465,8,0,8,8,1.45
北京市大兴区采育供电所公共充电站,116.648392,39.659443,2,0,2,2,1.45
北京海富智慧新能源汽车示范园B区充电站,116.667954,39.747521,20,0,19,19,1.20
北京海富智慧新能源汽车示范园B区充电站2站,116.667954,39.747521,20,0,15,15,1.20
特来电北京市通州区一方健康谷充电项目,116.77574,39.768247,9,0,9,9,1.64
特来电北京市通州区一方健康谷二期充电站,116.777346,39.768332,0,20,20,0,1.64
壳牌漷县充电站,116.800836,39.774302,12,0,10,10,1.20
北京市通州区漷县供电所公共充电站,116.798419,39.774879,2,0,0,0,1.45
北京市房山区史家营乡百瑞谷景区充电站,115.655833,39.851113,2,0,2,2,1.50
